pw_id,pw_title,bgc_label,source,n_genes
PC1002,"C4 photosynthetic carbon assimilation cycle, PEPCK type",#cluster-11,plantiSMASH,1
PC1002,"C4 photosynthetic carbon assimilation cycle, PEPCK type",#cluster-12,plantiSMASH,1
PC1015,L-phenylalanine degradation III,#cluster-12,plantiSMASH,1
PC1026,eupatolitin 3-O-glucoside biosynthesis,#cluster-24,plantiSMASH,2
PC1036,phosphopantothenate biosynthesis I,#cluster-10,plantiSMASH,1
PC1048,glucosinolate biosynthesis from homomethionine,#cluster-14,plantiSMASH,1
PC1048,glucosinolate biosynthesis from homomethionine,#cluster-4,plantiSMASH,1
PC1056,sucrose degradation II (sucrose synthase),#cluster-16,plantiSMASH,1
PC1079,marneral biosynthesis,#cluster-57,plantiSMASH,1
PC1079,marneral biosynthesis,mibig:BGC0000669,MIBiG,1
PC1086,"benzoate biosynthesis I (CoA-dependent, β-oxidative)",#cluster-14,plantiSMASH,1
PC1093,oleanolate biosynthesis,#cluster-17,plantiSMASH,1
PC1113,superpathway of oleoresin turpentine biosynthesis,#cluster-21,plantiSMASH,1
PC1113,superpathway of oleoresin turpentine biosynthesis,#cluster-52,plantiSMASH,1
PC1125,ginsenosides biosynthesis,#cluster-17,plantiSMASH,1
PC113,superpathway of C28 brassinosteroid biosynthesis,#cluster-31,plantiSMASH,1
PC1137,zerumbone biosynthesis,#cluster-52,plantiSMASH,1
PC1144,glucosinolate biosynthesis from dihomomethionine,#cluster-14,plantiSMASH,1
PC1144,glucosinolate biosynthesis from dihomomethionine,#cluster-4,plantiSMASH,1
PC1147,superpathway of L-threonine biosynthesis,#cluster-11,plantiSMASH,1
PC1147,superpathway of L-threonine biosynthesis,#cluster-12,plantiSMASH,1
PC1155,cholesterol biosynthesis I,#cluster-38,plantiSMASH,1
PC1158,spermidine biosynthesis I,#cluster-15,plantiSMASH,1
PC1158,spermidine biosynthesis I,#cluster-3,plantiSMASH,1
PC1160,superpathway of phospholipid biosynthesis II (plants),#cluster-47,plantiSMASH,1
PC130,L-methionine salvage cycle I (bacteria and plants),#cluster-15,plantiSMASH,1
PC130,L-methionine salvage cycle I (bacteria and plants),#cluster-3,plantiSMASH,1
PC132,detoxification of reactive carbonyls in chloroplasts,#cluster-21,plantiSMASH,1
PC132,detoxification of reactive carbonyls in chloroplasts,#cluster-3,plantiSMASH,1
PC146,superpathway of indole-3-acetate conjugate biosynthesis,#cluster-25,plantiSMASH,1
PC150,sinapate ester biosynthesis,#cluster-19,plantiSMASH,1
PC152,rutin biosynthesis,#cluster-24,plantiSMASH,2
PC152,rutin biosynthesis,#cluster-46,plantiSMASH,1
PC152,rutin biosynthesis,#cluster-51,plantiSMASH,1
PC169,"(3E)-4,8-dimethylnona-1,3,7-triene biosynthesis II",#cluster-46,plantiSMASH,1
PC169,"(3E)-4,8-dimethylnona-1,3,7-triene biosynthesis II",mibig:BGC0001313,MIBiG,1
PC173,"avenacin biosynthesis, initial reactions",#cluster-17,plantiSMASH,1
PC180,superpathway of L-phenylalanine and L-tyrosine biosynthesis,#cluster-34,plantiSMASH,1
PC184,traumatin and (Z)-3-hexen-1-yl acetate biosynthesis,#cluster-21,plantiSMASH,1
PC203,sphingolipid biosynthesis (plants),#cluster-49,plantiSMASH,1
PC219,sporopollenin precursors biosynthesis,#cluster-12,plantiSMASH,1
PC22,"fatty acid β-oxidation V (unsaturated, odd number, di-isomerase-dependent)",#cluster-47,plantiSMASH,1
PC233,glucosinolate biosynthesis from tetrahomomethionine,#cluster-14,plantiSMASH,1
PC233,glucosinolate biosynthesis from tetrahomomethionine,#cluster-4,plantiSMASH,1
PC241,superpathway of avenacin A biosynthesis,#cluster-17,plantiSMASH,1
PC246,L-phenylalanine biosynthesis II,#cluster-34,plantiSMASH,1
PC247,resveratrol biosynthesis,#cluster-1,plantiSMASH,1
PC25,trehalose biosynthesis I,#cluster-17,plantiSMASH,1
PC254,iron reduction and absorption,#cluster-52,plantiSMASH,1
PC260,polyisoprenoid biosynthesis,#cluster-17,plantiSMASH,1
PC264,superpathway of coenzyme A biosynthesis II (plants),#cluster-10,plantiSMASH,1
PC275,superpathway of pantothenate and coenzymeA biosynthesis,#cluster-10,plantiSMASH,1
PC279,perillyl aldehyde biosynthesis,#cluster-21,plantiSMASH,1
PC332,superpathway of flavones and derivatives biosynthesis,#cluster-24,plantiSMASH,3
PC332,superpathway of flavones and derivatives biosynthesis,#cluster-46,plantiSMASH,1
PC332,superpathway of flavones and derivatives biosynthesis,#cluster-51,plantiSMASH,1
PC348,olivetol biosynthesis,#cluster-1,plantiSMASH,1
PC350,long-chain fatty acid activation,#cluster-12,plantiSMASH,1
PC350,long-chain fatty acid activation,#cluster-8,plantiSMASH,1
PC356,quercetin glucoside biosynthesis (Allium),#cluster-24,plantiSMASH,3
PC356,quercetin glucoside biosynthesis (Allium),#cluster-46,plantiSMASH,1
PC356,quercetin glucoside biosynthesis (Allium),#cluster-51,plantiSMASH,1
PC360,superpathway of anaerobic sucrose degradation,#cluster-16,plantiSMASH,1
PC382,"2-carboxy-1,4-naphthoquinol biosynthesis",#cluster-6,plantiSMASH,1
PC387,lanosterol biosynthesis,#cluster-38,plantiSMASH,1
PC412,phosphopantothenate biosynthesis II,#cluster-10,plantiSMASH,1
PC414,glucosinolate biosynthesis from pentahomomethionine,#cluster-14,plantiSMASH,1
PC414,glucosinolate biosynthesis from pentahomomethionine,#cluster-4,plantiSMASH,1
PC420,flavonol acylglucoside biosynthesis III-quercetin derivatives,#cluster-24,plantiSMASH,2
PC420,flavonol acylglucoside biosynthesis III-quercetin derivatives,#cluster-46,plantiSMASH,1
PC420,flavonol acylglucoside biosynthesis III-quercetin derivatives,#cluster-51,plantiSMASH,1
PC437,farnesene biosynthesis,#cluster-47,plantiSMASH,1
PC439,mangrove triterpenoid biosynthesis,#cluster-17,plantiSMASH,1
PC445,L-tryptophan biosynthesis,#cluster-24,plantiSMASH,1
PC446,quercetin triglucoside biosynthesis,#cluster-24,plantiSMASH,2
PC446,quercetin triglucoside biosynthesis,#cluster-46,plantiSMASH,1
PC446,quercetin triglucoside biosynthesis,#cluster-51,plantiSMASH,1
PC450,glucosinolate biosynthesis from hexahomomethionine,#cluster-14,plantiSMASH,1
PC450,glucosinolate biosynthesis from hexahomomethionine,#cluster-4,plantiSMASH,1
PC50,superpathway of flavones and derivatives biosynthesis,#cluster-24,plantiSMASH,3
PC50,superpathway of flavones and derivatives biosynthesis,#cluster-46,plantiSMASH,1
PC50,superpathway of flavones and derivatives biosynthesis,#cluster-51,plantiSMASH,1
PC512,"1,4-dihydroxy-2-naphthoate biosynthesis II (plants)",#cluster-6,plantiSMASH,1
PC526,UDP-glucose biosynthesis (from sucrose),#cluster-16,plantiSMASH,1
PC53,glucosinolate biosynthesis from trihomomethionine,#cluster-14,plantiSMASH,1
PC53,glucosinolate biosynthesis from trihomomethionine,#cluster-4,plantiSMASH,1
PC561,brassinolide biosynthesis II,#cluster-31,plantiSMASH,1
PC566,(4R)-carvone biosynthesis,#cluster-21,plantiSMASH,1
PC607,superpathway of polyamine biosynthesis,#cluster-15,plantiSMASH,1
PC607,superpathway of polyamine biosynthesis,#cluster-3,plantiSMASH,1
PC634,taxadiene biosynthesis (engineered),#cluster-17,plantiSMASH,1
PC634,taxadiene biosynthesis (engineered),#cluster-35,plantiSMASH,1
PC634,taxadiene biosynthesis (engineered),#cluster-37,plantiSMASH,1
PC634,taxadiene biosynthesis (engineered),mibig:BGC0002397,MIBiG,1
PC634,taxadiene biosynthesis (engineered),mibig:BGC0002398,MIBiG,1
PC645,superpathway of L-isoleucine biosynthesis I,#cluster-11,plantiSMASH,1
PC645,superpathway of L-isoleucine biosynthesis I,#cluster-12,plantiSMASH,1
PC65,acridone alkaloid biosynthesis,#cluster-24,plantiSMASH,1
PC664,homocysteine and cysteine interconversion,#cluster-42,plantiSMASH,1
PC664,homocysteine and cysteine interconversion,#cluster-50,plantiSMASH,1
PC666,gibberellin inactivation I (2β-hydroxylation),#cluster-17,plantiSMASH,1
PC674,indole glucosinolate activation (herbivore attack),#cluster-28,plantiSMASH,1
PC675,quercetin glycoside biosynthesis (Arabidopsis),#cluster-24,plantiSMASH,3
PC675,quercetin glycoside biosynthesis (Arabidopsis),#cluster-46,plantiSMASH,1
PC675,quercetin glycoside biosynthesis (Arabidopsis),#cluster-51,plantiSMASH,1
PC677,avenacin A-1 biosynthesis,#cluster-17,plantiSMASH,1
PC68,glycyrrhetinate biosynthesis,#cluster-17,plantiSMASH,1
PC686,galactolipid biosynthesis I,#cluster-18,plantiSMASH,1
PC691,geranylgeranyl pyrophosphate biosynthesis,#cluster-17,plantiSMASH,1
PC691,geranylgeranyl pyrophosphate biosynthesis,#cluster-35,plantiSMASH,1
PC691,geranylgeranyl pyrophosphate biosynthesis,#cluster-37,plantiSMASH,1
PC691,geranylgeranyl pyrophosphate biosynthesis,mibig:BGC0002397,MIBiG,1
PC691,geranylgeranyl pyrophosphate biosynthesis,mibig:BGC0002398,MIBiG,1
PC704,oleoresin monoterpene volatiles biosynthesis,#cluster-21,plantiSMASH,1
PC715,indole-3-acetate biosynthesis I,#cluster-15,plantiSMASH,1
PC716,nonaprenyl pyrophosphate biosynthesis II,#cluster-17,plantiSMASH,1
PC72,wax esters biosynthesis II,#cluster-12,plantiSMASH,1
PC72,wax esters biosynthesis II,#cluster-8,plantiSMASH,1
PC721,superpathway of phylloquinol biosynthesis,#cluster-17,plantiSMASH,1
PC721,superpathway of phylloquinol biosynthesis,#cluster-35,plantiSMASH,1
PC721,superpathway of phylloquinol biosynthesis,#cluster-37,plantiSMASH,1
PC721,superpathway of phylloquinol biosynthesis,#cluster-6,plantiSMASH,1
PC721,superpathway of phylloquinol biosynthesis,mibig:BGC0002397,MIBiG,1
PC721,superpathway of phylloquinol biosynthesis,mibig:BGC0002398,MIBiG,1
PC722,glucosinolate biosynthesis from tryptophan,#cluster-4,plantiSMASH,1
PC722,glucosinolate biosynthesis from tryptophan,#cluster-63,plantiSMASH,1
PC736,palmitate biosynthesis II (type II fatty acid synthase),#cluster-8,plantiSMASH,1
PC743,superpathway of geranylgeranyl pyrophosphate biosynthesis II (via MEP),#cluster-17,plantiSMASH,1
PC743,superpathway of geranylgeranyl pyrophosphate biosynthesis II (via MEP),#cluster-35,plantiSMASH,1
PC743,superpathway of geranylgeranyl pyrophosphate biosynthesis II (via MEP),#cluster-37,plantiSMASH,1
PC743,superpathway of geranylgeranyl pyrophosphate biosynthesis II (via MEP),mibig:BGC0002397,MIBiG,1
PC743,superpathway of geranylgeranyl pyrophosphate biosynthesis II (via MEP),mibig:BGC0002398,MIBiG,1
PC769,menthol biosynthesis,#cluster-21,plantiSMASH,1
PC778,indole glucosinolate activation (intact plant cell),#cluster-28,plantiSMASH,1
PC778,indole glucosinolate activation (intact plant cell),#cluster-63,plantiSMASH,1
PC781,β-caryophyllene biosynthesis,#cluster-52,plantiSMASH,1
PC800,thalianol and derivatives biosynthesis,#cluster-60,plantiSMASH,3
PC800,thalianol and derivatives biosynthesis,mibig:BGC0000670,MIBiG,3
PC812,monoterpene biosynthesis,#cluster-21,plantiSMASH,1
PC812,monoterpene biosynthesis,#cluster-47,plantiSMASH,1
PC835,superpathway of geranylgeranylpyrophosphate biosynthesis I (via mevalonate),#cluster-17,plantiSMASH,1
PC835,superpathway of geranylgeranylpyrophosphate biosynthesis I (via mevalonate),#cluster-35,plantiSMASH,1
PC835,superpathway of geranylgeranylpyrophosphate biosynthesis I (via mevalonate),#cluster-37,plantiSMASH,1
PC835,superpathway of geranylgeranylpyrophosphate biosynthesis I (via mevalonate),mibig:BGC0002397,MIBiG,1
PC835,superpathway of geranylgeranylpyrophosphate biosynthesis I (via mevalonate),mibig:BGC0002398,MIBiG,1
PC838,superpathway of fatty acid biosynthesis II (plant),#cluster-8,plantiSMASH,1
PC855,fenchol biosynthesis II,#cluster-21,plantiSMASH,1
PC858,brassinolide biosynthesis I,#cluster-31,plantiSMASH,1
PC859,plaunotol biosynthesis,#cluster-17,plantiSMASH,1
PC859,plaunotol biosynthesis,#cluster-35,plantiSMASH,1
PC859,plaunotol biosynthesis,#cluster-37,plantiSMASH,1
PC859,plaunotol biosynthesis,mibig:BGC0002397,MIBiG,1
