pwID,title,count
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC838_r17.0.0_20260520160610,superpathway of fatty acid biosynthesis II (plant),135
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC50_r17.0.0_20260520160610,superpathway of flavones and derivatives biosynthesis,128
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC113_r17.0.0_20260520160610,superpathway of C28 brassinosteroid biosynthesis,106
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC736_r17.0.0_20260520160610,palmitate biosynthesis II (type II fatty acid synthase),100
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC857_r17.0.0_20260520160610,superpathway of gibberellin biosynthesis,98
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC533_r17.0.0_20260520160610,superpathway of diterpene resin acids biosynthesis,86
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC59_r17.0.0_20260520160610,glycolipid desaturation,84
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC506_r17.0.0_20260520160610,phytosterol biosynthesis (plants),81
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC427_r17.0.0_20260520160610,Amaryllidacea alkaloids biosynthesis,76
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC516_r17.0.0_20260520160610,"vindoline, vindorosine and vinblastine biosynthesis",75
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC465_r17.0.0_20260520160610,superpathway of polymethylated quercetin/quercetagetin glucoside biosynthesis (Chrysosplenium),74
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC858_r17.0.0_20260520160610,brassinolide biosynthesis I,73
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1160_r17.0.0_20260520160610,superpathway of phospholipid biosynthesis II (plants),72
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1019_r17.0.0_20260520160610,superpathway of ergosterol biosynthesis II,67
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC648_r17.0.0_20260520160610,ajmaline and sarpagine biosynthesis,66
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC956_r17.0.0_20260520160610,superpathway of betalain biosynthesis,65
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1016_r17.0.0_20260520160610,"aliphatic glucosinolate biosynthesis, side chain elongation cycle",65
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1080_r17.0.0_20260520160610,phospholipid desaturation,63
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC767_r17.0.0_20260520160610,superpathway of purine nucleotides de novo biosynthesis I,62
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC426_r17.0.0_20260520160610,superpathway of glycoalkaloid metabolism (Solanaceae),61
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC561_r17.0.0_20260520160610,brassinolide biosynthesis II,61
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC706_r17.0.0_20260520160610,hydroxylated fatty acid biosynthesis (plants),61
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC898_r17.0.0_20260520160610,plant sterol biosynthesis II,60
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC911_r17.0.0_20260520160610,"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle",59
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC491_r17.0.0_20260520160610,suberin monomers biosynthesis,58
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC332_r17.0.0_20260520160610,superpathway of flavones and derivatives biosynthesis,57
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC346_r17.0.0_20260520160610,superpathway of isoflavonoids (via naringenin),55
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC590_r17.0.0_20260520160610,Organic Nitrogen Assimilation,55
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC219_r17.0.0_20260520160610,sporopollenin precursors biosynthesis,55
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC984_r17.0.0_20260520160610,superpathway of seleno-compound metabolism,53
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC122_r17.0.0_20260520160610,superpathway of pterocarpan biosynthesis (via formononetin),53
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC617_r17.0.0_20260520160610,glycerolipid acyl chain desaturation (Chlamydomonas),53
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC360_r17.0.0_20260520160610,superpathway of anaerobic sucrose degradation,52
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC449_r17.0.0_20260520160610,very long chain fatty acid biosynthesis II,52
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1155_r17.0.0_20260520160610,cholesterol biosynthesis I,51
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC175_r17.0.0_20260520160610,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,49
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC442_r17.0.0_20260520160610,paclitaxel biosynthesis,49
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1090_r17.0.0_20260520160610,jasmonic acid biosynthesis,48
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC791_r17.0.0_20260520160610,polymethylated quercetin glucoside biosynthesis II-quercetagetin series (Chrysosplenium),48
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC380_r17.0.0_20260520160610,superpathway of bitter acids biosynthesis,48
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1125_r17.0.0_20260520160610,ginsenosides biosynthesis,48
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC887_r17.0.0_20260520160610,polymethylated myricetin biosynthesis (tomato),48
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC693_r17.0.0_20260520160610,protein N-glycosylation initial phase (eukaryotic),48
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC843_r17.0.0_20260520160610,secologanin and strictosidine biosynthesis,47
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC582_r17.0.0_20260520160610,sanguinarine and macarpine biosynthesis,47
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1103_r17.0.0_20260520160610,superpathway of Allium flavor precursors,45
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC365_r17.0.0_20260520160610,cardenolide glucosides biosynthesis,45
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC504_r17.0.0_20260520160610,monolignol biosynthesis,45
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC409_r17.0.0_20260520160610,morphine biosynthesis,44
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC953_r17.0.0_20260520160610,superpathway of hyoscyamine (atropine) and scopolamine biosynthesis,44
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1134_r17.0.0_20260520160610,superpathway of carotenoid biosynthesis in plants,44
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC601_r17.0.0_20260520160610,tetrahydrofolate biosynthesis II,43
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC722_r17.0.0_20260520160610,glucosinolate biosynthesis from tryptophan,43
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC220_r17.0.0_20260520160610,"cholesterol biosynthesis (plants, early side-chain reductase)",43
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC69_r17.0.0_20260520160610,superpathway of branched chain amino acid biosynthesis,42
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1051_r17.0.0_20260520160610,superpathway of formononetin derivative biosynthesis,42
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1144_r17.0.0_20260520160610,glucosinolate biosynthesis from dihomomethionine,42
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1159_r17.0.0_20260520160610,α-tomatine biosynthesis,42
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC185_r17.0.0_20260520160610,superpathway of acylsucrose biosynthesis (cultivated tomato),42
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC340_r17.0.0_20260520160610,cutin biosynthesis,42
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC666_r17.0.0_20260520160610,gibberellin inactivation I (2β-hydroxylation),41
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC921_r17.0.0_20260520160610,superpathway of lipoxygenase,40
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC264_r17.0.0_20260520160610,superpathway of coenzyme A biosynthesis II (plants),40
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC21_r17.0.0_20260520160610,superpathway of purines degradation in plants,39
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC604_r17.0.0_20260520160610,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis II",39
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC721_r17.0.0_20260520160610,superpathway of phylloquinol biosynthesis,39
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC203_r17.0.0_20260520160610,sphingolipid biosynthesis (plants),38
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC301_r17.0.0_20260520160610,superpathway of linamarin and lotaustralin biosynthesis,38
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1082_r17.0.0_20260520160610,flavonoid di-C-glucosylation,38
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC118_r17.0.0_20260520160610,"2,4,6-trinitrotoluene degradation",38
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC379_r17.0.0_20260520160610,superpathway of rosmarinic acid biosynthesis,38
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC146_r17.0.0_20260520160610,superpathway of indole-3-acetate conjugate biosynthesis,38
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC779_r17.0.0_20260520160610,superpathway of benzoxazinoid glucosides biosynthesis,38
