inchikey,label,n_pw,skeleton,skeleton_match_n,skeleton_match_qid,skeleton_match_ik
RFUSIIWQXWXIBP-UHFFFAOYSA-L,herbicide 14A,12,RFUSIIWQXWXIBP,0,,
XUZMIKFKZAUSGG-IVHWZWKWSA-N,4-(3-methylbutanoyl)sucrose,6,XUZMIKFKZAUSGG,0,,
BRKLOAHUJZWUQQ-QMMMGPOBSA-M,α-aminooxy-β-phenylpropanoate,5,BRKLOAHUJZWUQQ,0,,
BNTSBBGKFQEZMC-RCOSXJMQSA-N,3-(2-methylbutanoyl)-4-(3-methylbutanoyl)sucrose,5,BNTSBBGKFQEZMC,0,,
YUKHDORWTMHOFN-MAKMTIOGSA-N,"3-(2-methylbutanoyl)-3',4-di(3-methylbutanoyl)sucrose",5,YUKHDORWTMHOFN,0,,
WDHZXDLRQGPOGR-WGJSNZCWSA-N,des-acyl avenacin A,4,WDHZXDLRQGPOGR,0,,
WDFDPXMELFXBFU-UHFFFAOYSA-N,4-(1-methyl-2-pyrrolidinyl)-3-oxobutanoate,4,WDFDPXMELFXBFU,0,,
CKJPUEYKSFDFTJ-VVDGRPBXSA-N,furostanol-26-aldehyde,3,CKJPUEYKSFDFTJ,0,,
BKTKGBYTCNWOED-VVDGRPBXSA-O,26-amino-furostanol,3,BKTKGBYTCNWOED,0,,
ILXHRXMLJGQOQV-NTOMXLCZSA-N,"3-isobutanoyl-3',4-di(3-methylbutanoyl)sucrose",3,ILXHRXMLJGQOQV,0,,
ANYHHKFSRBHUQP-KDRVCDMJSA-N,3-dodecanoyl-4-(3-methylbutanoyl)sucrose,3,ANYHHKFSRBHUQP,0,,
ADCQBVGFARUXKA-CAHKLHCGSA-N,3-isobutanoyl-4-(3-methylbutanoyl)sucrose,3,ADCQBVGFARUXKA,0,,
QZMOYTNIBYYCJU-HJSAGUBHSA-N,"3-decanoyl-3',4-di(3-methylbutanoyl)sucrose",3,QZMOYTNIBYYCJU,0,,
PXAITRVCWWHJEA-VRYDHRQHSA-N,"2,4-di(3-methylbutanoyl)sucrose",3,PXAITRVCWWHJEA,0,,
HHNBHWPLXYYKCZ-VVDGRPBXSA-N,furostanol-26-alcohol,3,HHNBHWPLXYYKCZ,0,,
ORAJWSYKRGVTDP-UHFFFAOYSA-N,coniferyl alcohol radical,3,ORAJWSYKRGVTDP,0,,
LZPFFKBGBPBJAW-KHXRIMTESA-M,a jasmonoyl-L-valine,3,LZPFFKBGBPBJAW,0,,
