pwID,title,count
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC50_r17.0.0_20260605-171052,superpathway of flavones and derivatives biosynthesis,83
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC360_r17.0.0_20260605-171052,superpathway of anaerobic sucrose degradation,73
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC911_r17.0.0_20260605-171052,"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle",65
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC308_r17.0.0_20260605-171052,glycolysis I (from glucose 6-phosphate),59
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC163_r17.0.0_20260605-171052,glycolysis IV,52
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC516_r17.0.0_20260605-171052,"vindoline, vindorosine and vinblastine biosynthesis",52
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC953_r17.0.0_20260605-171052,superpathway of hyoscyamine (atropine) and scopolamine biosynthesis,51
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC956_r17.0.0_20260605-171052,superpathway of betalain biosynthesis,51
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1160_r17.0.0_20260605-171052,superpathway of phospholipid biosynthesis II (plants),50
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1019_r17.0.0_20260605-171052,superpathway of ergosterol biosynthesis II,50
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC190_r17.0.0_20260605-171052,glycolysis II (from fructose 6-phosphate),49
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC212_r17.0.0_20260605-171052,gluconeogenesis I,49
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC332_r17.0.0_20260605-171052,superpathway of flavones and derivatives biosynthesis,47
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC984_r17.0.0_20260605-171052,superpathway of seleno-compound metabolism,47
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC426_r17.0.0_20260605-171052,superpathway of glycoalkaloid metabolism (Solanaceae),47
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC379_r17.0.0_20260605-171052,superpathway of rosmarinic acid biosynthesis,47
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC491_r17.0.0_20260605-171052,suberin monomers biosynthesis,46
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC465_r17.0.0_20260605-171052,superpathway of polymethylated quercetin/quercetagetin glucoside biosynthesis (Chrysosplenium),46
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC427_r17.0.0_20260605-171052,Amaryllidacea alkaloids biosynthesis,43
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1103_r17.0.0_20260605-171052,superpathway of Allium flavor precursors,43
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC582_r17.0.0_20260605-171052,sanguinarine and macarpine biosynthesis,43
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC148_r17.0.0_20260605-171052,superpathway of nicotine biosynthesis,43
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC21_r17.0.0_20260605-171052,superpathway of purines degradation in plants,42
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC590_r17.0.0_20260605-171052,Organic Nitrogen Assimilation,42
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC533_r17.0.0_20260605-171052,superpathway of diterpene resin acids biosynthesis,42
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC346_r17.0.0_20260605-171052,superpathway of isoflavonoids (via naringenin),41
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC648_r17.0.0_20260605-171052,ajmaline and sarpagine biosynthesis,41
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC130_r17.0.0_20260605-171052,L-methionine salvage cycle I (bacteria and plants),40
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC225_r17.0.0_20260605-171052,Rubisco shunt,40
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1016_r17.0.0_20260605-171052,"aliphatic glucosinolate biosynthesis, side chain elongation cycle",40
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC857_r17.0.0_20260605-171052,superpathway of gibberellin biosynthesis,40
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1144_r17.0.0_20260605-171052,glucosinolate biosynthesis from dihomomethionine,39
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC506_r17.0.0_20260605-171052,phytosterol biosynthesis (plants),39
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC524_r17.0.0_20260605-171052,sucrose biosynthesis I (from photosynthesis),38
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC187_r17.0.0_20260605-171052,superpathway of anthocyanin biosynthesis (from pelargonidin 3-O-glucoside),38
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC113_r17.0.0_20260605-171052,superpathway of C28 brassinosteroid biosynthesis,38
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1159_r17.0.0_20260605-171052,α-tomatine biosynthesis,38
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC791_r17.0.0_20260605-171052,polymethylated quercetin glucoside biosynthesis II-quercetagetin series (Chrysosplenium),38
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC762_r17.0.0_20260605-171052,rosmarinic acid biosynthesis I,37
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC523_r17.0.0_20260605-171052,superpathway of scopolin and esculin biosynthesis,37
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1134_r17.0.0_20260605-171052,superpathway of carotenoid biosynthesis in plants,37
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC176_r17.0.0_20260605-171052,noscapine biosynthesis,37
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC358_r17.0.0_20260605-171052,Calvin-Benson-Bassham cycle,37
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC289_r17.0.0_20260605-171052,L-methionine salvage cycle II (plants),37
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC767_r17.0.0_20260605-171052,superpathway of purine nucleotides de novo biosynthesis I,37
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC601_r17.0.0_20260605-171052,tetrahydrofolate biosynthesis II,36
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC175_r17.0.0_20260605-171052,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,36
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1025_r17.0.0_20260605-171052,chelerythrine biosynthesis,36
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC921_r17.0.0_20260605-171052,superpathway of lipoxygenase,36
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC891_r17.0.0_20260605-171052,superpathway of sucrose and starch metabolism I (non-photosynthetic tissue),35
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC146_r17.0.0_20260605-171052,superpathway of indole-3-acetate conjugate biosynthesis,35
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC925_r17.0.0_20260605-171052,coumarins biosynthesis (engineered),35
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC675_r17.0.0_20260605-171052,quercetin glycoside biosynthesis (Arabidopsis),35
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC538_r17.0.0_20260605-171052,anthocyanidin modification (Arabidopsis),34
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC843_r17.0.0_20260605-171052,secologanin and strictosidine biosynthesis,34
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC122_r17.0.0_20260605-171052,superpathway of pterocarpan biosynthesis (via formononetin),34
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC898_r17.0.0_20260605-171052,plant sterol biosynthesis II,34
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC380_r17.0.0_20260605-171052,superpathway of bitter acids biosynthesis,34
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC504_r17.0.0_20260605-171052,monolignol biosynthesis,34
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1048_r17.0.0_20260605-171052,glucosinolate biosynthesis from homomethionine,34
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1051_r17.0.0_20260605-171052,superpathway of formononetin derivative biosynthesis,34
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC409_r17.0.0_20260605-171052,morphine biosynthesis,34
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC604_r17.0.0_20260605-171052,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis II",34
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC620_r17.0.0_20260605-171052,tropane alkaloids biosynthesis,34
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC203_r17.0.0_20260605-171052,sphingolipid biosynthesis (plants),33
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC219_r17.0.0_20260605-171052,sporopollenin precursors biosynthesis,33
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC721_r17.0.0_20260605-171052,superpathway of phylloquinol biosynthesis,33
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC442_r17.0.0_20260605-171052,paclitaxel biosynthesis,33
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC264_r17.0.0_20260605-171052,superpathway of coenzyme A biosynthesis II (plants),33
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC844_r17.0.0_20260605-171052,(S)-reticuline biosynthesis I,33
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC33_r17.0.0_20260605-171052,superpathway of choline biosynthesis,33
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1090_r17.0.0_20260605-171052,jasmonic acid biosynthesis,33
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1082_r17.0.0_20260605-171052,flavonoid di-C-glucosylation,32
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1026_r17.0.0_20260605-171052,eupatolitin 3-O-glucoside biosynthesis,32
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC69_r17.0.0_20260605-171052,superpathway of branched chain amino acid biosynthesis,31
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC345_r17.0.0_20260605-171052,TCA cycle variation V (plant),31
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1042_r17.0.0_20260605-171052,anthocyanidin acylglucoside and acylsambubioside biosynthesis,31
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC104_r17.0.0_20260605-171052,superpathway of anthocyanin biosynthesis (from cyanidin and cyanidin 3-O-glucoside),31
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC634_r17.0.0_20260605-171052,taxadiene biosynthesis (engineered),31
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC652_r17.0.0_20260605-171052,polymethylated quercetin glucoside biosynthesis I-quercetin series (Chrysosplenium),31
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC824_r17.0.0_20260605-171052,purine nucleotides degradation I (plants),31
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC585_r17.0.0_20260605-171052,superpathway of L-citrulline metabolism,31
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC722_r17.0.0_20260605-171052,glucosinolate biosynthesis from tryptophan,31
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC858_r17.0.0_20260605-171052,brassinolide biosynthesis I,31
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC59_r17.0.0_20260605-171052,glycolipid desaturation,30
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC625_r17.0.0_20260605-171052,superpathway of tetrahydrofolate biosynthesis,30
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC560_r17.0.0_20260605-171052,pelargonidin conjugates biosynthesis,30
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC633_r17.0.0_20260605-171052,sucrose biosynthesis II,30
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC554_r17.0.0_20260605-171052,berberine biosynthesis,30
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC706_r17.0.0_20260605-171052,hydroxylated fatty acid biosynthesis (plants),30
