species,pathways,genes,enzymes,metabolites,conversions,catalysis,publications
Arabidopsis thaliana,1038,1121,1325,1354,2323,4732,3929
Zea mays subsp. mays,142,71,111,170,229,324,1149
Glycine max,142,120,160,158,198,665,1124
Solanum lycopersicum,123,78,82,192,255,284,1039
Chlamydomonas reinhardtii,111,94,156,141,204,264,860
Lathyrus oleraceus,100,20,52,105,171,193,725
Oryza sativa Japonica Group,72,34,36,78,109,132,582
Nicotiana tabacum,67,23,42,79,111,119,598
Oryza sativa,64,38,44,98,125,149,521
Catharanthus roseus,61,18,30,70,99,113,544
Spinacia oleracea,60,9,36,50,94,121,522
Triticum aestivum,59,13,29,68,99,121,605
Petunia x hybrida,59,19,22,55,78,84,502
Lotus japonicus,56,115,115,68,71,513,475
Solanum tuberosum,54,70,100,66,79,198,641
Abies grandis,52,11,12,57,92,194,168
Hordeum vulgare,38,19,32,43,40,54,357
Solanum habrochaites,35,17,16,44,72,105,258
Capsicum annuum,34,5,10,23,36,36,346
Picea abies,33,10,12,36,69,121,160
Medicago sativa,30,9,12,19,39,39,388
Petroselinum crispum,29,2,7,16,32,32,278
Hevea brasiliensis,29,2,7,16,44,44,267
Ricinus communis,28,3,18,27,39,68,273
Ocimum basilicum,26,15,18,31,38,47,178
Rosa hybrid cultivar,25,12,12,24,36,42,211
Sorghum bicolor,25,14,15,19,33,35,227
Zea mays,24,10,15,24,27,35,243
Panicum virgatum,24,7,4,13,34,38,258
Vitis vinifera,23,10,10,34,31,37,182
Daucus carota,22,1,16,27,44,44,235
Allium cepa,21,6,13,28,43,62,158
Glycyrrhiza glabra,21,6,7,19,30,30,158
Cicer arietinum,21,1,37,29,60,60,147
Populus trichocarpa,21,9,10,16,22,28,316
Mesembryanthemum crystallinum,20,1,2,2,1,1,224
Artemisia annua,20,8,9,13,27,31,175
Fagopyrum esculentum,20,3,6,17,21,29,194
Perilla frutescens,19,5,5,23,34,34,166
Setaria italica,19,17,18,19,27,100,180
Papaver somniferum,18,21,26,38,48,70,156
Ginkgo biloba,18,8,8,17,24,25,292
Medicago truncatula,18,9,9,34,33,35,145
Clarkia breweri,18,6,9,10,10,11,144
Lithospermum erythrorhizon,17,4,6,8,20,37,184
Humulus lupulus,17,6,7,31,49,52,123
Cucumis melo,17,8,12,15,26,39,185
Brassica napus,17,4,9,10,12,14,200
Linum usitatissimum,16,2,5,9,14,14,166
Citrus x paradisi,16,2,3,12,20,37,149
Lupinus luteus,16,0,8,23,33,43,72
Pinus massoniana,16,1,1,2,16,16,181
Phaseolus vulgaris,16,0,10,17,17,17,91
Glycyrrhiza echinata,15,4,13,23,37,41,164
Avena sativa,15,5,9,14,15,21,105
Musa acuminata,15,0,5,2,5,10,168
Physcomitrium patens,15,6,6,21,19,19,103
Cucumis sativus,15,3,12,19,23,56,140
Panax ginseng,15,4,5,9,24,24,186
Equisetum arvense,15,2,5,13,23,23,220
Fragaria x ananassa,14,2,5,13,10,10,156
Dianthus caryophyllus,13,8,11,22,18,28,102
Cucurbita maxima,13,5,5,24,42,52,66
Vigna radiata var. radiata,13,0,9,21,29,29,156
Panicum miliaceum,13,3,5,8,22,22,132
Coffea canephora,12,6,6,7,30,38,138
Selaginella moellendorffii,12,3,3,8,13,21,59
Pinus sylvestris,12,2,6,26,27,27,161
Camellia sinensis,12,4,10,14,20,24,91
Rhizophora stylosa,12,3,3,6,17,27,135
Malus domestica,11,8,10,16,13,20,200
Mentha x piperita,11,11,12,24,23,29,97
Secale cereale,11,1,12,12,14,23,139
Chrysosplenium americanum,10,4,12,26,55,62,121
Amaranthus cruentus,10,0,2,3,13,13,142
Matthiola incana,10,0,4,18,27,27,121
Vicia faba,10,0,4,10,14,14,66
Carthamus tinctorius,10,1,4,7,10,10,88
Cannabis sativa,10,3,6,12,13,13,104
Kalanchoe daigremontiana,10,3,3,5,11,30,85
