"pwID","title","count"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC352","superpathway of fatty acid biosynthesis II (plant)","135"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC353","superpathway of flavones and derivatives biosynthesis","128"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC555","superpathway of C28 brassinosteroid biosynthesis","106"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC455","palmitate biosynthesis II (type II fatty acid synthase)","100"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC668","superpathway of gibberellin biosynthesis","98"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1045","superpathway of diterpene resin acids biosynthesis","86"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC396","glycolipid desaturation","84"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC166","phytosterol biosynthesis (plants)","81"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC169","Amaryllidacea alkaloids biosynthesis","76"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC75","vindoline, vindorosine and vinblastine biosynthesis","75"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC410","superpathway of polymethylated quercetin/quercetagetin glucoside biosynthesis (Chrysosplenium)","74"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC510","brassinolide biosynthesis I","73"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC582","superpathway of phospholipid biosynthesis II (plants)","72"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1040","superpathway of ergosterol biosynthesis II","67"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC629","ajmaline and sarpagine biosynthesis","66"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC400","superpathway of betalain biosynthesis","65"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC903","aliphatic glucosinolate biosynthesis, side chain elongation cycle","65"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC210","phospholipid desaturation","63"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1035","superpathway of purine nucleotides de novo biosynthesis I","62"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1053","hydroxylated fatty acid biosynthesis (plants)","61"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC411","brassinolide biosynthesis II","61"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC889","superpathway of glycoalkaloid metabolism (Solanaceae)","61"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC715","plant sterol biosynthesis II","60"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC665","superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle","59"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC912","suberin monomers biosynthesis","58"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC538","superpathway of flavones and derivatives biosynthesis","57"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1146","Organic Nitrogen Assimilation","55"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC69","superpathway of isoflavonoids (via naringenin)","55"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1157","sporopollenin precursors biosynthesis","55"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC343","glycerolipid acyl chain desaturation (Chlamydomonas)","53"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC722","superpathway of seleno-compound metabolism","53"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1120","superpathway of pterocarpan biosynthesis (via formononetin)","53"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC552","very long chain fatty acid biosynthesis II","52"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC375","cholesterol biosynthesis I","51"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC97","superpathway of anaerobic sucrose degradation","51"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC114","superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis","49"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC284","paclitaxel biosynthesis","49"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC51","polymethylated myricetin biosynthesis (tomato)","48"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC780","protein N-glycosylation initial phase (eukaryotic)","48"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC659","superpathway of bitter acids biosynthesis","48"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC19","ginsenosides biosynthesis","48"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC252","polymethylated quercetin glucoside biosynthesis II-quercetagetin series (Chrysosplenium)","48"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC395","jasmonic acid biosynthesis","48"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC151","secologanin and strictosidine biosynthesis","47"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC34","sanguinarine and macarpine biosynthesis","47"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC160","cardenolide glucosides biosynthesis","45"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC259","superpathway of Allium flavor precursors","45"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC634","monolignol biosynthesis","45"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC756","morphine biosynthesis","44"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1089","superpathway of carotenoid biosynthesis in plants","44"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC399","superpathway of hyoscyamine (atropine) and scopolamine biosynthesis","44"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC430","tetrahydrofolate biosynthesis II","43"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC878","glucosinolate biosynthesis from tryptophan","43"
