"pwID","title"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1","reductive TCA cycle I"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC10","lutein biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC100","salidroside biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1000","icosapentaenoate biosynthesis I (lower eukaryotes)"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1001","fatty acid α-oxidation I (plants)"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1002","nevadensin biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1003","caffeoylglucarate biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1004","caffeine degradation I (main, plants)"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1005","galactolipid biosynthesis I"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1006","linustatin bioactivation"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1007","costunolide biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1008","pyrethrin I biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1009","indole-3-acetate inactivation VIII"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC101","glutathione-peroxide redox reactions"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1010","glycine cleavage"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1011","mannitol biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1012","guanosine ribonucleotides de novo biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1013","5-deoxystrigol biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1014","D-mannose degradation I"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1015","pyridoxal 5'-phosphate salvage II (plants)"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1016","molybdopterin biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1017","biotin biosynthesis from 8-amino-7-oxononanoate I"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1018","2-O-acetyl-3-O-trans-coutarate biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1019","phaselate biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC102","lipid-dependent phytate biosynthesis I (via Ins(1,4,5)P₃)"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1020","L-alanine degradation III"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1021","superpathway of anthocyanin biosynthesis (from delphinidin 3-O-glucoside)"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1022","orientin and isoorientin biosynthesis I"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1023","Inorganic Nitrogen Assimilation"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1024","pyruvate decarboxylation to acetyl CoA I"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1025","isoflavonoid biosynthesis I"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1026","raspberry ketone biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1027","benzoyl-β-D-glucopyranose biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1028","superpathway of benzoxazinoid glucosides biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1029","glycine biosynthesis I"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC103","thiazole component of thiamine pyrophosphate biosynthesis III"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1030","phenylpropanoid volatiles glycoconjugation (tomato)"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1031","urate conversion to allantoin I"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1032","urea degradation II"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1033","adenine and adenosine salvage II"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1034","NAD de novo biosynthesis I"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1035","superpathway of purine nucleotides de novo biosynthesis I"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1036","diacylglycerol biosynthesis (PUFA enrichment in oilseed)"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1037","steviol biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1038","folate polyglutamylation II"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1039","phaseollin biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC104","baruol biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1040","superpathway of ergosterol biosynthesis II"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1041","homophytochelatin biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1042","acacetin biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1043","glucosinolate biosynthesis from trihomomethionine"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1044","pentose phosphate pathway (oxidative branch) I"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1045","superpathway of diterpene resin acids biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1046","L-ornithine biosynthesis II"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1047","farnesylcysteine salvage pathway"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1048","lipoate biosynthesis and incorporation I"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1049","cytokinins 7-N-glucoside biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC105","kaempferol diglycoside biosynthesis (pollen-specific)"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1050","chalcone 2'-O-glucoside biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1051","beta-carboline biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1052","crocetin esters biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1053","hydroxylated fatty acid biosynthesis (plants)"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1054","wax esters biosynthesis I"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1055","coumarin biosynthesis (via 2-coumarate)"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1056","superpathway of ammonia assimilation (plants)"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1057","magnoflorine biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1058","aloesone and aloesin biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1059","chlorogenic acid biosynthesis II"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC106","α-carotene biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1060","(S)-reticuline biosynthesis I"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1061","aromatic glucosinolate activation"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1062","(4R)-carvone biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1063","melibiose degradation"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1064","galactosylcyclitol biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1065","UTP and CTP de novo biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1066","L-homomethionine biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1067","betacyanin biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1068","hydroxymethylpyrimidine salvage"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1069","S-adenosyl-L-methionine salvage II"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC107","L-ascorbate biosynthesis II (plants, L-gulose pathway)"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1070","caffeine biosynthesis II (via paraxanthine)"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1071","quercetin glucoside degradation (Allium)"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1072","curcumene biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1073","acylsucrose biosynthesis (Solanum habrochaites)"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1074","superpathway of pterocarpan biosynthesis (via daidzein)"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1075","gibberellin inactivation II (methylation)"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1076","nitric oxide biosynthesis I (plants)"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1077","adlupulone and adhumulone biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1078","labdane-type diterpenes biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1079","propanethial S-oxide biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC108","indole-3-acetate inactivation VI"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1080","seleno-amino acid detoxification and volatilization III"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1081","inosine-5'-phosphate biosynthesis II"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1082","adenosine ribonucleotides de novo biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1083","anthocyanin biosynthesis (pelargonidin 3-O-glucoside)"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1084","A series fagopyritols biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1085","oxalate degradation IV"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1086","1D-myo-inositol hexakisphosphate biosynthesis I (from Ins(1,4,5)P3)"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1087","diacylglyceryl-N,N,N-trimethylhomoserine biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1088","superpathway of tetrahydrofolate biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1089","superpathway of carotenoid biosynthesis in plants"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC109","avenacin A-1 biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1090","kaempferol gentiobioside biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1091","lathyrine biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1092","phosphatidylglycerol biosynthesis II"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1093","coumestrol biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1094","thioredoxin pathway"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1095","CDP-diacylglycerol biosynthesis IV"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1096","L-citrulline biosynthesis"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1097","superpathway of methylsalicylate metabolism"
"http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1098","stachyose biosynthesis"
