"species","pathways","genes","enzymes","metabolites","conversions","interactions","publications"
"cellular organisms","1310","648","730","1666","3150","6795","848"
"Arabidopsis thaliana","511","1649","2157","1805","7998","23932","3094"
"Glycine max","114","503","785","578","1615","5541","971"
"Zea mays","96","708","914","619","1659","6055","1064"
"Oryza sativa","69","410","509","468","1045","3619","663"
"Pisum sativum","68","429","610","465","1283","4578","676"
"Chlamydomonas reinhardtii","59","240","360","323","874","2448","511"
"Solanum tuberosum","54","336","506","425","1009","3707","639"
"Nicotiana tabacum","52","330","428","323","685","2618","558"
"Populus trichocarpa","52","388","505","306","713","2771","572"
"Homo sapiens","45","92","121","187","570","1317","292"
"Solanum lycopersicum","42","279","356","337","737","2378","466"
"Saccharomyces cerevisiae","36","123","151","195","432","1090","316"
"Escherichia coli","34","121","175","202","496","1380","277"
"Triticum aestivum","34","195","293","256","564","2041","337"
"Spinacia oleracea","30","175","338","240","537","2226","341"
"Hordeum vulgare","30","158","230","246","375","1457","275"
"Vitis vinifera","30","194","244","184","360","1222","337"
"Catharanthus roseus","28","230","295","262","592","2104","302"
"Petunia x hybrida","27","220","265","182","428","1450","295"
"Ricinus communis","22","135","218","178","456","1881","212"
"Cicer arietinum","21","69","157","153","430","1172","128"
"Cucumis sativus","19","142","219","169","255","1012","217"
"Lupinus luteus","18","42","67","114","266","914","94"
"Vigna radiata","17","197","289","201","435","1912","213"
"Phaseolus vulgaris","16","87","141","139","246","725","101"
"Camellia sinensis","15","31","51","107","203","664","96"
"Brassica napus","15","136","210","170","436","1675","204"
"Medicago sativa","15","180","247","175","442","1450","197"
"Lotus japonicus","14","62","103","145","305","760","107"
"Abies grandis","13","56","58","69","261","866","80"
"Perilla frutescens","12","72","79","87","182","740","110"
"Picea abies","12","81","87","70","260","921","93"
"Pinus taeda","12","55","56","67","251","766","67"
"Bacillus subtilis","12","40","53","83","123","346","89"
"Papaver somniferum","11","48","68","167","299","818","112"
"Glycyrrhiza glabra","11","53","88","98","270","684","95"
"Secale cereale","11","70","130","139","195","860","135"
"Allium cepa","11","95","115","107","171","557","80"
"Dianthus caryophyllus","10","24","29","59","76","209","64"
"Rosa hybrid cultivar","10","94","102","75","88","464","76"
"Manihot esculenta","10","76","95","80","134","477","105"
"Capsicum annuum","10","90","97","85","137","504","139"
"Solanum habrochaites","10","52","57","86","155","469","79"
"Pueraria montana","9","179","236","170","366","1212","196"
"Petroselinum crispum","9","52","73","81","130","418","116"
"Malus domestica","9","61","92","80","87","350","104"
"Daucus carota","9","39","60","81","96","293","67"
"Brassica oleracea","8","54","74","106","145","388","121"
"Clarkia breweri","8","43","62","76","93","355","77"
"Avena strigosa","8","38","38","25","65","310","48"
"Sorghum bicolor","8","40","55","70","106","294","89"
"Ocimum basilicum","8","50","60","57","87","284","69"
"Trifolium pratense","7","51","81","91","175","542","90"
"Pinus sylvestris","7","64","81","72","79","325","80"
"Lactuca sativa romaine","7","51","51","48","91","339","87"
"Linum usitatissimum","7","12","22","50","105","266","44"
"Physcomitrium patens","7","19","19","64","101","237","50"
"Artemisia annua","7","67","73","49","82","368","80"
"Avena sativa","7","29","97","73","81","315","77"
"Limnanthes douglasii","6","47","70","54","137","483","44"
"Carthamus tinctorius","6","50","58","44","58","202","50"
"Cucumis melo","6","42","59","59","49","254","75"
"Nicotiana attenuata","6","35","44","88","131","321","88"
"Hevea brasiliensis","6","46","98","94","106","607","93"
"Ipomoea nil","6","64","73","82","107","440","78"
"Oryza","6","41","40","29","26","149","48"
"Citrus x paradisi","6","97","105","39","50","515","66"
"Coptis japonica","6","29","34","62","81","316","61"
"Solanum pennellii","6","20","20","39","87","269","40"
"Lithospermum erythrorhizon","6","24","33","74","111","420","54"
"Humulus lupulus","5","21","26","43","108","267","32"
"Delphinium grandiflorum","5","6","8","35","52","128","14"
"Rattus norvegicus","5","10","15","59","52","118","73"
"Fagopyrum esculentum","5","9","16","35","34","93","31"
"Mus musculus","5","13","17","57","54","123","72"
"Lupinus albus","5","15","27","64","93","212","43"
"Salmonella enterica","5","5","9","23","41","96","32"
"Helianthus tuberosus","5","36","53","57","62","218","59"
"Coffea arabica","5","46","56","50","68","254","55"
"Portulaca grandiflora","5","26","34","86","138","379","72"
"Atropa belladonna","5","17","21","60","120","302","40"
"Vicia faba","5","28","43","56","60","281","54"
"Botryococcus braunii","5","42","52","55","68","219","59"
"Lupinus angustifolius","5","3","11","26","48","110","21"
"Datura stramonium","5","25","28","70","114","291","40"
"Panax ginseng","5","41","44","43","81","248","61"
"Cichorium intybus","5","53","62","41","76","308","31"
"Pinus contorta","5","78","84","35","79","438","73"
"Brassica juncea","5","23","26","51","57","143","61"
"Mycobacterium tuberculosis","5","14","19","36","58","137","27"
"Mentha x piperita","5","32","37","36","58","238","34"
"Hypericum androsaemum","5","5","15","37","69","166","38"
"Chrysosplenium americanum","5","115","140","110","282","1033","86"
"Dahlia variabilis","4","17","24","58","69","264","37"
"Matthiola incana","4","21","27","58","68","277","55"
"Ipomoea batatas","4","66","75","53","52","234","73"
"Rhus typhina","4","1","15","36","65","144","20"
"Pseudomonas aeruginosa","4","20","25","27","34","114","42"
"Glycyrrhiza echinata","4","16","28","41","55","142","41"
"Raphanus sativus","4","21","32","55","49","152","45"
"Hyoscyamus niger","4","17","21","53","97","265","32"
"Musa acuminata","4","54","99","89","111","629","90"
"Salvia splendens","4","21","25","47","71","347","27"
"Agapanthus africanus","4","6","8","32","45","111","14"
"Citrus maxima","4","3","14","29","42","88","46"
"Glandularia x hybrida","4","21","25","47","73","351","25"
"Ipomoea purpurea","4","24","31","57","78","305","42"
"Klebsiella pneumoniae","4","9","13","42","50","139","29"
"Allioideae","4","7","10","43","97","180","21"
"Allium sativum","4","31","35","65","80","220","45"
"Synechocystis sp. PCC 6803","4","12","15","34","44","98","38"
"Nicotiana sylvestris","4","21","27","32","49","173","47"
"Quercus robur","4","9","25","59","74","191","51"
"Klebsiella oxytoca","4","9","13","42","50","139","29"
