scope,property_key,count
DataNode:GeneProduct,UniqueID,8259
DataNode:GeneProduct,InstanceNameTemplate,8259
DataNode:GeneProduct,GeneType,8244
DataNode:GeneProduct,Product,8190
DataNode:GeneProduct,Accession1,5023
DataNode:GeneProduct,StartPosition,3424
DataNode:GeneProduct,EndPosition,3424
DataNode:GeneProduct,Synonym_1,3137
DataNode:GeneProduct,AlternativeId_Entrez,1486
DataNode:GeneProduct,Synonym_2,1193
DataNode:GeneProduct,AlternativeId_String,930
DataNode:GeneProduct,AlternativeId_Tair,517
DataNode:GeneProduct,Synonym_3,480
DataNode:GeneProduct,AlternativeId_Arrayexpress,412
DataNode:GeneProduct,Osmolarity,260
DataNode:GeneProduct,Synonym_4,221
DataNode:GeneProduct,TranscriptionDirection,145
DataNode:GeneProduct,Synonym_5,118
DataNode:GeneProduct,Products,69
DataNode:GeneProduct,ProductCount,69
DataNode:GeneProduct,AlternativeId_Phytozome,50
DataNode:GeneProduct,AlternativeId_Araport,43
DataNode:GeneProduct,Synonym_6,42
DataNode:GeneProduct,Accession2,36
DataNode:GeneProduct,AlternativeId_Refseq,29
DataNode:GeneProduct,AlternativeId_Maizegdb,20
DataNode:GeneProduct,AlternativeId_Uniprot,19
DataNode:GeneProduct,AlternativeId_Chlamycyc1,19
DataNode:GeneProduct,Synonym_7,16
DataNode:GeneProduct,GeneTypes,15
DataNode:GeneProduct,AlternativeId_Gramene,6
DataNode:GeneProduct,AlternativeId_Ensembl,6
DataNode:GeneProduct,AlternativeId_Sgn,5
DataNode:GeneProduct,Synonym_8,4
DataNode:GeneProduct,AlternativeId_Interpro,2
DataNode:GeneProduct,Synonym_9,2
DataNode:GeneProduct,AlternativeId_Subtiliswiki,1
DataNode:GeneProduct,AlternativeId_GrameneGene,1
DataNode:GeneProduct,AlternativeId_GrameneEnsembl,1
DataNode:Metabolite,UniqueID,22304
DataNode:Metabolite,InstanceNameTemplate,22304
DataNode:Metabolite,Osmolarity,22304
DataNode:Metabolite,Smiles,21976
DataNode:Metabolite,NonStandardInchi,21563
DataNode:Metabolite,MolecularWeight,20813
DataNode:Metabolite,ChemicalFormula,20698
DataNode:Metabolite,MonoisotopicMw,20695
DataNode:Metabolite,Inchi,20583
DataNode:Metabolite,InchiKey,20500
DataNode:Metabolite,AlternativeId_Pubchem,20468
DataNode:Metabolite,Gibbs0,20399
DataNode:Metabolite,AlternativeId_Chebi,20109
DataNode:Metabolite,Synonym_1,19745
DataNode:Metabolite,AlternativeId_LigandCpd,18495
DataNode:Metabolite,AlternativeId_Metanetx,18288
DataNode:Metabolite,Synonym_2,16842
DataNode:Metabolite,AlternativeId_Hmdb,15733
DataNode:Metabolite,AlternativeId_Seed,14812
DataNode:Metabolite,AtomCharges,14653
DataNode:Metabolite,Synonym_3,14483
DataNode:Metabolite,AlternativeId_Chemspider,13504
DataNode:Metabolite,AlternativeId_Cas,12936
DataNode:Metabolite,AlternativeId_Bigg,12728
DataNode:Metabolite,AlternativeId_Metabolights,11742
DataNode:Metabolite,Regulates,10573
DataNode:Metabolite,AlternativeId_Zinc,9853
DataNode:Metabolite,Synonym_4,9001
DataNode:Metabolite,AlternativeId_Refmet,7816
DataNode:Metabolite,Synonym_5,7678
DataNode:Metabolite,Synonym_6,4697
DataNode:Metabolite,Synonym_7,3680
DataNode:Metabolite,AbbrevName,3201
DataNode:Metabolite,Synonym_8,3096
DataNode:Metabolite,AlternativeId_Mediadb,3002
DataNode:Metabolite,Synonym_9,2472
DataNode:Metabolite,AlternativeId_Knapsack,2367
DataNode:Metabolite,CofactorsOf,1999
DataNode:Metabolite,Synonym_10,1950
DataNode:Metabolite,SystematicName,1589
DataNode:Metabolite,AlternativeId_ReactomeCpd,1545
DataNode:Metabolite,AlternativeId_Drugbank,1502
DataNode:Metabolite,Synonym_11,1483
DataNode:Metabolite,ComponentOf,1400
DataNode:Metabolite,Superatoms,1200
DataNode:Metabolite,IsPlaceholder,1145
DataNode:Metabolite,Synonym_12,1130
DataNode:Metabolite,Synonym_13,935
DataNode:Metabolite,InternalsOfGroup,788
DataNode:Metabolite,GroupCoords2d,775
DataNode:Metabolite,StructureGroups,775
DataNode:Metabolite,AlternativeId_UmBbdCpd,704
DataNode:Metabolite,AlternativeId_Wikipedia,679
DataNode:Metabolite,StructureLinks,636
DataNode:Metabolite,Synonym_14,597
DataNode:Metabolite,Synonym_15,554
DataNode:Metabolite,NName,480
DataNode:Metabolite,ProstheticGroupsOf,443
DataNode:Metabolite,AlternativeId_Nci,420
DataNode:Metabolite,Pka1,356
DataNode:Metabolite,Synonym_16,343
DataNode:Metabolite,Synonym_17,339
DataNode:Metabolite,Synonym_18,339
DataNode:Metabolite,Synonym_19,322
DataNode:Metabolite,Pka2,301
DataNode:Metabolite,HasNoStructure?,267
DataNode:Metabolite,N+1Name,262
DataNode:Metabolite,Pka3,194
DataNode:Metabolite,FastEquilibratingInstances?,190
DataNode:Metabolite,N1Name,164
DataNode:Metabolite,Components,128
DataNode:Metabolite,Tautomers,115
DataNode:Metabolite,Logp,86
DataNode:Metabolite,PolarSurfaceArea,79
DataNode:Metabolite,AlternativeId_KeggGlycan,50
DataNode:Metabolite,RadicalAtoms,37
DataNode:Metabolite,Species,33
DataNode:Protein,UniqueID,10715
DataNode:Protein,InstanceNameTemplate,10713
DataNode:Protein,Species,10583
DataNode:Protein,Catalyzes,9891
DataNode:Protein,Gene,9014
DataNode:Protein,AlternativeId_Uniprot,5528
DataNode:Protein,Accession1,5384
DataNode:Protein,CatalyzesCount,5371
DataNode:Protein,AlternativeId_Araport,3979
DataNode:Protein,MolecularWeightKd,3807
DataNode:Protein,Synonym_1,3411
DataNode:Protein,AlternativeId_Interpro,3014
DataNode:Protein,AlternativeId_Pfam,2998
DataNode:Protein,MolecularWeightExp,2894
DataNode:Protein,AlternativeId_Pid,2486
DataNode:Protein,AlternativeId_Smr,1924
DataNode:Protein,MolecularWeightSeq,1919
DataNode:Protein,AlternativeId_Prosite,1824
DataNode:Protein,FunctionalAssignmentStatus,1526
DataNode:Protein,Synonym_2,1437
DataNode:Protein,AlternativeId_Pride,1378
DataNode:Protein,GOTerms,1294
DataNode:Protein,^citations,1113
DataNode:Protein,Locations,1069
DataNode:Protein,AlternativeId_Panther,1060
DataNode:Protein,ComponentOf,1014
DataNode:Protein,AlternativeId_Phylomedb,930
DataNode:Protein,AlternativeId_Swissmodel,691
DataNode:Protein,AlternativeId_Modbase,688
DataNode:Protein,Pi,576
DataNode:Protein,AlternativeId_Prints,572
DataNode:Protein,EnzymeNotUsedIn,533
DataNode:Protein,Synonym_3,427
DataNode:Protein,AlternativeId_Pdb,271
DataNode:Protein,AlternativeId_Cazy,271
DataNode:Protein,AlternativeId_Tair,242
DataNode:Protein,Synonym_4,178
DataNode:Protein,CodingSegments,160
DataNode:Protein,AlternativeId_Smart,157
DataNode:Protein,AlternativeId_String,118
DataNode:Protein,AlternativeId_Refseq,110
DataNode:Protein,AlternativeId_Phytozome,106
DataNode:Protein,AlternativeId_Maizegdb,102
DataNode:Protein,AlternativeId_Mint,96
DataNode:Protein,AlternativeId_Gi,91
DataNode:Protein,Synonym_5,82
DataNode:Protein,AlternativeId_Gene3D,61
DataNode:Protein,AlternativeId_Arrayexpress,48
DataNode:Protein,Synonym_6,42
DataNode:Protein,ComplexComponents,34
DataNode:Protein,ComponentCount,34
DataNode:Protein,IsComplex,34
DataNode:Protein,^coefficient,23
DataNode:Protein,AlternativeId_Plantcyc,19
DataNode:Protein,AlternativeId_Go,19
DataNode:Protein,AlternativeId_AnnotationSource,18
DataNode:Protein,AlternativeId_Swissprot,15
DataNode:Protein,AlternativeId_Dip,15
DataNode:Protein,FunctionalAssignmentComment,11
DataNode:Protein,AlternativeId_Metacyc,8
DataNode:Protein,Regulates,8
DataNode:Protein,AlternativeId_Prodom,7
DataNode:Protein,AlternativeId_Kegg,4
DataNode:Protein,Features,3
DataNode:Protein,AlternativeId_Chlamycyc1,3
DataNode:Protein,AlternativeId_Vchocyc,2
DataNode:Protein,AlternativeId_Disprot,2
DataNode:Protein,AbbrevName,1
DataNode:Protein,AlternativeId_GrameneGenedb,1
DataNode:Protein,AlternativeId_Dbget,1
Interaction,InstanceNameTemplate,12140
Interaction,PhysiologicallyRelevant,8994
Interaction,RegulationType,8719
Interaction,UniqueID,7772
Interaction,ReactionEquation,7772
Interaction,BalanceStatus,7772
Interaction,ReactionDirection,7564
Interaction,ReactionTypes,7472
Interaction,Pathways,6699
Interaction,Gibbs0,6650
Interaction,EC_Number,5988
Interaction,RegulationID,4368
Interaction,RegulatedEntity,4368
Interaction,Regulator,4368
Interaction,RegulationMode,4351
Interaction,^official?,3913
Interaction,Orphan,3727
Interaction,EnzymaticReactions,2593
Interaction,EnzymaticReactionCount,2593
Interaction,AtomMappings,2513
