property_key,count
InstanceNameTemplate,54578
UniqueID,51528
Synonym_1,27711
Gibbs0,27049
Osmolarity,22564
Smiles,21976
NonStandardInchi,21563
MolecularWeight,20813
ChemicalFormula,20698
MonoisotopicMw,20695
Inchi,20583
InchiKey,20500
AlternativeId_Pubchem,20468
Synonym_2,20400
AlternativeId_Chebi,20109
AlternativeId_LigandCpd,18495
AlternativeId_Metanetx,18288
Synonym_3,15914
AlternativeId_Hmdb,15733
AlternativeId_Seed,14812
AtomCharges,14653
AlternativeId_Chemspider,13504
AlternativeId_Cas,12936
AlternativeId_Bigg,12728
AlternativeId_Metabolights,11742
Species,10616
Regulates,10581
Accession1,10407
Catalyzes,9891
AlternativeId_Zinc,9853
Synonym_4,9689
Gene,9014
PhysiologicallyRelevant,8994
RegulationType,8719
GeneType,8244
Product,8190
Synonym_5,8012
AlternativeId_Refmet,7816
ReactionEquation,7772
BalanceStatus,7772
ReactionDirection,7564
ReactionTypes,7472
Pathways,6699
AlternativeId_Uniprot,6609
EC_Number,5988
CatalyzesCount,5371
Synonym_6,4871
RegulationID,4368
RegulatedEntity,4368
Regulator,4368
RegulationMode,4351
AlternativeId_Araport,4022
^official?,3913
MolecularWeightKd,3807
Synonym_7,3769
Orphan,3727
StartPosition,3424
EndPosition,3424
AbbrevName,3202
Synonym_8,3158
AlternativeId_Interpro,3016
AlternativeId_Mediadb,3002
AlternativeId_Pfam,2998
MolecularWeightExp,2894
EnzymaticReactions,2593
EnzymaticReactionCount,2593
AtomMappings,2513
Synonym_9,2507
AlternativeId_Pid,2486
EnzymaticReaction,2478
PathwayCount,2454
ComponentOf,2414
AlternativeId_Knapsack,2367
CofactorsOf,1999
Synonym_10,1975
AlternativeId_Smr,1924
MolecularWeightSeq,1919
AlternativeId_Prosite,1824
SystematicName,1701
AlternativeId_ReactomeCpd,1545
FunctionalAssignmentStatus,1526
Synonym_11,1503
AlternativeId_Drugbank,1502
AlternativeId_Entrez,1486
Synonyms,1418
AlternativeId_Pride,1378
GOTerms,1294
Superatoms,1200
^coefficient,1199
AlternativeId_Rhea,1193
ReactionIDs,1162
Organism,1153
Synonym_12,1150
IsPlaceholder,1145
^citations,1113
Locations,1069
AlternativeId_Panther,1060
AlternativeId_String,1048
ReactionCount,1028
Mechanism,962
Synonym_13,940
PredecessorCount,938
AlternativeId_Phylomedb,930
TaxonomicRange_1,905
Type,888
InternalsOfGroup,788
GroupCoords2d,775
StructureGroups,775
AlternativeId_Pir,771
AlternativeId_Tair,759
AlternativeId_UmBbdCpd,704
ReactionName,703
AlternativeId_Swissmodel,691
AlternativeId_Modbase,688
AlternativeId_Wikipedia,679
StructureLinks,636
PathwayLinks,622
PrimaryCompoundCount,609
Synonym_14,602
Pi,576
AlternativeId_Prints,572
Synonym_15,559
EnzymeNotUsedIn,533
CannotBalance?,495
NName,480
AlternativeId_Arrayexpress,460
ProstheticGroupsOf,443
AlternativeId_Nci,420
Spontaneous,403
Pka1,356
Synonym_16,348
Synonym_17,344
Synonym_18,344
ReactionList,340
Synonym_19,327
Pka2,301
ReactionType,300
Type_1,274
Type_2,274
AlternativeId_Pdb,271
AlternativeId_Cazy,271
HasNoStructure?,267
N+1Name,262
TaxonomicRange_2,228
Pka3,194
FastEquilibratingInstances?,190
EC_Number_1,176
EC_Number_2,176
N1Name,164
CodingSegments,160
AlternativeId_Smart,157
AlternativeId_Phytozome,156
^compartment,150
TranscriptionDirection,145
AlternativeId_Refseq,139
Components,128
TaxonomicRange_3,124
AlternativeId_Maizegdb,122
Tautomers,115
AlternativeId_Mint,96
AlternativeId_Gi,91
Logp,86
PolarSurfaceArea,79
Products,69
ProductCount,69
AlternativeId_Gene3D,61
AlternativeId_KeggGlycan,50
Ki,50
TaxonomicRange_4,45
Predecessors,38
Primaries,38
RadicalAtoms,37
Accession2,36
ComplexComponents,34
ComponentCount,34
IsComplex,34
Type_3,30
EC_Number_3,27
StandardReductionPotential,23
AlternativeId_Chlamycyc1,22
TaxonomicRange_5,22
AlternativeId_Plantcyc,20
AlternativeId_Go,19
AlternativeId_AnnotationSource,18
AlternativeId_Swissprot,15
GeneTypes,15
AlternativeId_Dip,15
MemberSortFn,14
FunctionalAssignmentComment,11
AlternativeId_Metacyc,9
TaxonomicRange_6,8
EC_Number_4,7
AlternativeId_Prodom,7
AlternativeId_Gramene,6
AlternativeId_Ensembl,6
AlternativeId_Sgn,5
EnzymesNotUsed,4
TaxonomicRange_7,4
TaxonomicRange_8,4
AlternativeId_Kegg,4
Features,3
TaxonomicRange_9,3
Synonym_20,3
AlternativeId_Vchocyc,2
AlternativeId_Disprot,2
AlternativeId_Subtiliswiki,1
AlternativeId_GrameneGenedb,1
AlternativeId_GrameneGene,1
AlternativeId_GrameneEnsembl,1
EC_Number_5,1
EC_Number_6,1
EC_Number_7,1
EC_Number_8,1
AlternativeId_Dbget,1
Synonym_21,1
Synonym_22,1
