source,bgc_label,gene_id,pw_id,pw_title
plantiSMASH,#cluster-11,AT1G62800,PC1002,"C4 photosynthetic carbon assimilation cycle, PEPCK type"
plantiSMASH,#cluster-12,AT1G62960,PC1002,"C4 photosynthetic carbon assimilation cycle, PEPCK type"
plantiSMASH,#cluster-12,AT1G62960,PC1015,L-phenylalanine degradation III
plantiSMASH,#cluster-24,AT2G29740,PC1026,eupatolitin 3-O-glucoside biosynthesis
plantiSMASH,#cluster-24,AT2G29750,PC1026,eupatolitin 3-O-glucoside biosynthesis
plantiSMASH,#cluster-10,AT1G60440,PC1036,phosphopantothenate biosynthesis I
plantiSMASH,#cluster-4,AT1G24100,PC1048,glucosinolate biosynthesis from homomethionine
plantiSMASH,#cluster-14,AT1G65860,PC1048,glucosinolate biosynthesis from homomethionine
plantiSMASH,#cluster-16,AT1G73370,PC1056,sucrose degradation II (sucrose synthase)
plantiSMASH,#cluster-57,AT5G42600,PC1079,marneral biosynthesis
plantiSMASH,#cluster-14,AT1G65880,PC1086,"benzoate biosynthesis I (CoA-dependent, β-oxidative)"
plantiSMASH,#cluster-17,AT1G78500,PC1093,oleanolate biosynthesis
plantiSMASH,#cluster-21,AT2G24210,PC1113,superpathway of oleoresin turpentine biosynthesis
plantiSMASH,#cluster-52,AT5G23960,PC1113,superpathway of oleoresin turpentine biosynthesis
plantiSMASH,#cluster-17,AT1G78500,PC1125,ginsenosides biosynthesis
plantiSMASH,#cluster-52,AT5G23960,PC1137,zerumbone biosynthesis
plantiSMASH,#cluster-31,AT3G13730,PC113,superpathway of C28 brassinosteroid biosynthesis
plantiSMASH,#cluster-4,AT1G24100,PC1144,glucosinolate biosynthesis from dihomomethionine
plantiSMASH,#cluster-14,AT1G65860,PC1144,glucosinolate biosynthesis from dihomomethionine
plantiSMASH,#cluster-11,AT1G62800,PC1147,superpathway of L-threonine biosynthesis
plantiSMASH,#cluster-12,AT1G62960,PC1147,superpathway of L-threonine biosynthesis
plantiSMASH,#cluster-38,AT3G45130,PC1155,cholesterol biosynthesis I
plantiSMASH,#cluster-3,AT1G23820,PC1158,spermidine biosynthesis I
plantiSMASH,#cluster-15,AT1G70310,PC1158,spermidine biosynthesis I
plantiSMASH,#cluster-47,AT4G16700,PC1160,superpathway of phospholipid biosynthesis II (plants)
plantiSMASH,#cluster-3,AT1G23820,PC130,L-methionine salvage cycle I (bacteria and plants)
plantiSMASH,#cluster-15,AT1G70310,PC130,L-methionine salvage cycle I (bacteria and plants)
plantiSMASH,#cluster-3,AT1G23740,PC132,detoxification of reactive carbonyls in chloroplasts
